date_key,year,month,month_name,day_of_week,quarter,season
149,2023,3,March,Monday,1,Autumn
150,2023,3,March,Saturday,1,Autumn
151,2023,3,March,Sunday,1,Autumn
152,2023,3,March,Thursday,1,Autumn
153,2023,3,March,Tuesday,1,Autumn
154,2023,3,March,Wednesday,1,Autumn
155,2023,2,February,Friday,1,Summer
156,2023,2,February,Monday,1,Summer
157,2023,2,February,Saturday,1,Summer
158,2023,2,February,Sunday,1,Summer
159,2023,2,February,Thursday,1,Summer
160,2023,2,February,Tuesday,1,Summer
161,2023,2,February,Wednesday,1,Summer
162,2023,1,January,Friday,1,Summer
163,2023,1,January,Monday,1,Summer
164,2023,1,January,Saturday,1,Summer
165,2023,1,January,Sunday,1,Summer
166,2023,1,January,Thursday,1,Summer
167,2023,1,January,Tuesday,1,Summer
168,2023,1,January,Wednesday,1,Summer
169,2022,12,December,Friday,4,Summer
170,2022,12,December,Monday,4,Summer
171,2022,12,December,Saturday,4,Summer
172,2022,12,December,Sunday,4,Summer
173,2022,12,December,Thursday,4,Summer
174,2022,12,December,Tuesday,4,Summer
175,2022,12,December,Wednesday,4,Summer
176,2022,11,November,Friday,4,Spring
177,2022,11,November,Monday,4,Spring
178,2022,11,November,Saturday,4,Spring
179,2022,11,November,Sunday,4,Spring
180,2022,11,November,Thursday,4,Spring
181,2022,11,November,Tuesday,4,Spring
182,2022,11,November,Wednesday,4,Spring
183,2022,10,October,Friday,4,Spring
184,2022,10,October,Monday,4,Spring
185,2022,10,October,Saturday,4,Spring
186,2022,10,October,Sunday,4,Spring
187,2022,10,October,Thursday,4,Spring
188,2022,10,October,Tuesday,4,Spring
189,2022,10,October,Wednesday,4,Spring
190,2022,9,September,Friday,3,Spring
191,2022,9,September,Monday,3,Spring
192,2022,9,September,Saturday,3,Spring
193,2022,9,September,Sunday,3,Spring
194,2022,9,September,Thursday,3,Spring
195,2022,9,September,Tuesday,3,Spring
196,2022,9,September,Wednesday,3,Spring
197,2022,8,August,Friday,3,Winter
198,2022,8,August,Monday,3,Winter
199,2022,8,August,Saturday,3,Winter
200,2022,8,August,Sunday,3,Winter
201,2022,8,August,Thursday,3,Winter
202,2022,8,August,Tuesday,3,Winter
203,2022,8,August,Wednesday,3,Winter
204,2022,7,July,Friday,3,Winter
205,2022,7,July,Monday,3,Winter
206,2022,7,July,Saturday,3,Winter
207,2022,7,July,Sunday,3,Winter
208,2022,7,July,Thursday,3,Winter
209,2022,7,July,Tuesday,3,Winter
210,2022,7,July,Wednesday,3,Winter
211,2022,6,June,Friday,2,Winter
212,2022,6,June,Monday,2,Winter
213,2022,6,June,Saturday,2,Winter
214,2022,6,June,Sunday,2,Winter
215,2022,6,June,Thursday,2,Winter
216,2022,6,June,Tuesday,2,Winter
217,2022,6,June,Wednesday,2,Winter
218,2022,5,May,Friday,2,Autumn
219,2022,5,May,Monday,2,Autumn
220,2022,5,May,Saturday,2,Autumn
221,2022,5,May,Sunday,2,Autumn
222,2022,5,May,Thursday,2,Autumn
223,2022,5,May,Tuesday,2,Autumn
224,2022,5,May,Wednesday,2,Autumn
225,2022,4,April,Friday,2,Autumn
226,2022,4,April,Monday,2,Autumn
227,2022,4,April,Saturday,2,Autumn
228,2022,4,April,Sunday,2,Autumn
229,2022,4,April,Thursday,2,Autumn
230,2022,4,April,Tuesday,2,Autumn
231,2022,4,April,Wednesday,2,Autumn
232,2022,3,March,Friday,1,Autumn
233,2022,3,March,Monday,1,Autumn
234,2022,3,March,Saturday,1,Autumn
235,2022,3,March,Sunday,1,Autumn
236,2022,3,March,Thursday,1,Autumn
237,2022,3,March,Tuesday,1,Autumn
238,2022,3,March,Wednesday,1,Autumn
239,2022,2,February,Friday,1,Summer
240,2022,2,February,Monday,1,Summer
241,2022,2,February,Saturday,1,Summer
242,2022,2,February,Sunday,1,Summer
243,2022,2,February,Thursday,1,Summer
244,2022,2,February,Tuesday,1,Summer
245,2022,2,February,Wednesday,1,Summer
246,2022,1,January,Friday,1,Summer
247,2022,1,January,Monday,1,Summer
248,2022,1,January,Saturday,1,Summer
249,2022,1,January,Sunday,1,Summer
250,2022,1,January,Thursday,1,Summer
251,2022,1,January,Tuesday,1,Summer
252,2022,1,January,Wednesday,1,Summer
253,2021,12,December,Friday,4,Summer
254,2021,12,December,Monday,4,Summer
255,2021,12,December,Saturday,4,Summer
256,2021,12,December,Sunday,4,Summer
257,2021,12,December,Thursday,4,Summer
258,2021,12,December,Tuesday,4,Summer
259,2021,12,December,Wednesday,4,Summer
260,2021,11,November,Friday,4,Spring
261,2021,11,November,Monday,4,Spring
262,2021,11,November,Saturday,4,Spring
263,2021,11,November,Sunday,4,Spring
264,2021,11,November,Thursday,4,Spring
265,2021,11,November,Tuesday,4,Spring
266,2021,11,November,Wednesday,4,Spring
267,2021,10,October,Friday,4,Spring
268,2021,10,October,Monday,4,Spring
269,2021,10,October,Saturday,4,Spring
270,2021,10,October,Sunday,4,Spring
271,2021,10,October,Thursday,4,Spring
272,2021,10,October,Tuesday,4,Spring
273,2021,10,October,Wednesday,4,Spring
274,2021,9,September,Friday,3,Spring
275,2021,9,September,Monday,3,Spring
276,2021,9,September,Saturday,3,Spring
277,2021,9,September,Sunday,3,Spring
278,2021,9,September,Thursday,3,Spring
279,2021,9,September,Tuesday,3,Spring
280,2021,9,September,Wednesday,3,Spring
281,2021,8,August,Friday,3,Winter
282,2021,8,August,Monday,3,Winter
283,2021,8,August,Saturday,3,Winter
284,2021,8,August,Sunday,3,Winter
285,2021,8,August,Thursday,3,Winter
286,2021,8,August,Tuesday,3,Winter
287,2021,8,August,Wednesday,3,Winter
288,2021,7,July,Friday,3,Winter
289,2021,7,July,Monday,3,Winter
290,2021,7,July,Saturday,3,Winter
291,2021,7,July,Sunday,3,Winter
292,2021,7,July,Thursday,3,Winter
293,2021,7,July,Tuesday,3,Winter
294,2021,7,July,Wednesday,3,Winter
295,2021,6,June,Friday,2,Winter
296,2021,6,June,Monday,2,Winter
297,2021,6,June,Saturday,2,Winter
298,2021,6,June,Sunday,2,Winter
299,2021,6,June,Thursday,2,Winter
300,2021,6,June,Tuesday,2,Winter
301,2021,6,June,Wednesday,2,Winter
302,2021,5,May,Friday,2,Autumn
303,2021,5,May,Monday,2,Autumn
304,2021,5,May,Saturday,2,Autumn
305,2021,5,May,Sunday,2,Autumn
306,2021,5,May,Thursday,2,Autumn
307,2021,5,May,Tuesday,2,Autumn
308,2021,5,May,Wednesday,2,Autumn
309,2021,4,April,Friday,2,Autumn
310,2021,4,April,Monday,2,Autumn
311,2021,4,April,Saturday,2,Autumn
312,2021,4,April,Sunday,2,Autumn
313,2021,4,April,Thursday,2,Autumn
314,2021,4,April,Tuesday,2,Autumn
315,2021,4,April,Wednesday,2,Autumn
316,2021,3,March,Friday,1,Autumn
317,2021,3,March,Monday,1,Autumn
318,2021,3,March,Saturday,1,Autumn
319,2021,3,March,Sunday,1,Autumn
320,2021,3,March,Thursday,1,Autumn
321,2021,3,March,Tuesday,1,Autumn
322,2021,3,March,Wednesday,1,Autumn
323,2021,2,February,Friday,1,Summer
324,2021,2,February,Monday,1,Summer
325,2021,2,February,Saturday,1,Summer
326,2021,2,February,Sunday,1,Summer
327,2021,2,February,Thursday,1,Summer
328,2021,2,February,Tuesday,1,Summer
329,2021,2,February,Wednesday,1,Summer
330,2021,1,January,Friday,1,Summer
331,2021,1,January,Monday,1,Summer
332,2021,1,January,Saturday,1,Summer
333,2021,1,January,Sunday,1,Summer
334,2021,1,January,Thursday,1,Summer
335,2021,1,January,Tuesday,1,Summer
336,2021,1,January,Wednesday,1,Summer
337,2020,12,December,Friday,4,Summer
338,2020,12,December,Monday,4,Summer
339,2020,12,December,Saturday,4,Summer
340,2020,12,December,Sunday,4,Summer
341,2020,12,December,Thursday,4,Summer
342,2020,12,December,Tuesday,4,Summer
343,2020,12,December,Wednesday,4,Summer
344,2020,11,November,Friday,4,Spring
345,2020,11,November,Monday,4,Spring
346,2020,11,November,Saturday,4,Spring
347,2020,11,November,Sunday,4,Spring
348,2020,11,November,Thursday,4,Spring
349,2020,11,November,Tuesday,4,Spring
350,2020,11,November,Wednesday,4,Spring
351,2020,10,October,Friday,4,Spring
352,2020,10,October,Monday,4,Spring
353,2020,10,October,Saturday,4,Spring
354,2020,10,October,Sunday,4,Spring
355,2020,10,October,Thursday,4,Spring
356,2020,10,October,Tuesday,4,Spring
357,2020,10,October,Wednesday,4,Spring
358,2020,9,September,Friday,3,Spring
359,2020,9,September,Monday,3,Spring
360,2020,9,September,Saturday,3,Spring
361,2020,9,September,Sunday,3,Spring
362,2020,9,September,Thursday,3,Spring
363,2020,9,September,Tuesday,3,Spring
364,2020,9,September,Wednesday,3,Spring
365,2020,8,August,Friday,3,Winter
366,2020,8,August,Monday,3,Winter
367,2020,8,August,Saturday,3,Winter
368,2020,8,August,Sunday,3,Winter
369,2020,8,August,Thursday,3,Winter
370,2020,8,August,Tuesday,3,Winter
371,2020,8,August,Wednesday,3,Winter
372,2020,7,July,Friday,3,Winter
373,2020,7,July,Monday,3,Winter
374,2020,7,July,Saturday,3,Winter
375,2020,7,July,Sunday,3,Winter
376,2020,7,July,Thursday,3,Winter
377,2020,7,July,Tuesday,3,Winter
378,2020,7,July,Wednesday,3,Winter
379,2020,6,June,Friday,2,Winter
380,2020,6,June,Monday,2,Winter
381,2020,6,June,Saturday,2,Winter
382,2020,6,June,Sunday,2,Winter
383,2020,6,June,Thursday,2,Winter
384,2020,6,June,Tuesday,2,Winter
385,2020,6,June,Wednesday,2,Winter
386,2020,5,May,Friday,2,Autumn
387,2020,5,May,Monday,2,Autumn
388,2020,5,May,Saturday,2,Autumn
389,2020,5,May,Sunday,2,Autumn
390,2020,5,May,Thursday,2,Autumn
391,2020,5,May,Tuesday,2,Autumn
392,2020,5,May,Wednesday,2,Autumn
393,2020,4,April,Friday,2,Autumn
394,2020,4,April,Monday,2,Autumn
395,2020,4,April,Saturday,2,Autumn
396,2020,4,April,Sunday,2,Autumn
397,2020,4,April,Thursday,2,Autumn
398,2020,4,April,Tuesday,2,Autumn
399,2020,4,April,Wednesday,2,Autumn
400,2020,3,March,Friday,1,Autumn
401,2020,3,March,Monday,1,Autumn
402,2020,3,March,Saturday,1,Autumn
403,2020,3,March,Sunday,1,Autumn
404,2020,3,March,Thursday,1,Autumn
405,2020,3,March,Tuesday,1,Autumn
406,2020,3,March,Wednesday,1,Autumn
407,2020,2,February,Friday,1,Summer
408,2020,2,February,Monday,1,Summer
409,2020,2,February,Saturday,1,Summer
410,2020,2,February,Sunday,1,Summer
411,2020,2,February,Thursday,1,Summer
412,2020,2,February,Tuesday,1,Summer
413,2020,2,February,Wednesday,1,Summer
414,2020,1,January,Friday,1,Summer
415,2020,1,January,Monday,1,Summer
416,2020,1,January,Saturday,1,Summer
417,2020,1,January,Sunday,1,Summer
418,2020,1,January,Thursday,1,Summer
419,2020,1,January,Tuesday,1,Summer
420,2020,1,January,Wednesday,1,Summer
421,2019,12,December,Friday,4,Summer
422,2019,12,December,Monday,4,Summer
423,2019,12,December,Saturday,4,Summer
424,2019,12,December,Sunday,4,Summer
425,2019,12,December,Thursday,4,Summer
426,2019,12,December,Tuesday,4,Summer
427,2019,12,December,Wednesday,4,Summer
428,2019,11,November,Friday,4,Spring
429,2019,11,November,Monday,4,Spring
430,2019,11,November,Saturday,4,Spring
431,2019,11,November,Sunday,4,Spring
432,2019,11,November,Thursday,4,Spring
433,2019,11,November,Tuesday,4,Spring
434,2019,11,November,Wednesday,4,Spring
435,2019,10,October,Friday,4,Spring
436,2019,10,October,Monday,4,Spring
437,2019,10,October,Saturday,4,Spring
438,2019,10,October,Sunday,4,Spring
439,2019,10,October,Thursday,4,Spring
440,2019,10,October,Tuesday,4,Spring
441,2019,10,October,Wednesday,4,Spring
442,2019,9,September,Friday,3,Spring
443,2019,9,September,Monday,3,Spring
444,2019,9,September,Saturday,3,Spring
445,2019,9,September,Sunday,3,Spring
446,2019,9,September,Thursday,3,Spring
447,2019,9,September,Tuesday,3,Spring
448,2019,9,September,Wednesday,3,Spring
449,2019,8,August,Friday,3,Winter
450,2019,8,August,Monday,3,Winter
451,2019,8,August,Saturday,3,Winter
452,2019,8,August,Sunday,3,Winter
453,2019,8,August,Thursday,3,Winter
454,2019,8,August,Tuesday,3,Winter
455,2019,8,August,Wednesday,3,Winter
456,2019,7,July,Friday,3,Winter
457,2019,7,July,Monday,3,Winter
458,2019,7,July,Saturday,3,Winter
459,2019,7,July,Sunday,3,Winter
460,2019,7,July,Thursday,3,Winter
461,2019,7,July,Tuesday,3,Winter
462,2019,7,July,Wednesday,3,Winter
463,2019,6,June,Friday,2,Winter
464,2019,6,June,Monday,2,Winter
465,2019,6,June,Saturday,2,Winter
466,2019,6,June,Sunday,2,Winter
467,2019,6,June,Thursday,2,Winter
468,2019,6,June,Tuesday,2,Winter
469,2019,6,June,Wednesday,2,Winter
470,2019,5,May,Friday,2,Autumn
471,2019,5,May,Monday,2,Autumn
472,2019,5,May,Saturday,2,Autumn
473,2019,5,May,Sunday,2,Autumn
474,2019,5,May,Thursday,2,Autumn
475,2019,5,May,Tuesday,2,Autumn
476,2019,5,May,Wednesday,2,Autumn
477,2019,4,April,Friday,2,Autumn
478,2019,4,April,Monday,2,Autumn
479,2019,4,April,Saturday,2,Autumn
480,2019,4,April,Sunday,2,Autumn
481,2019,4,April,Thursday,2,Autumn
482,2019,4,April,Tuesday,2,Autumn
483,2019,4,April,Wednesday,2,Autumn
484,2019,3,March,Friday,1,Autumn
485,2019,3,March,Monday,1,Autumn
486,2019,3,March,Saturday,1,Autumn
487,2019,3,March,Sunday,1,Autumn
488,2019,3,March,Thursday,1,Autumn
489,2019,3,March,Tuesday,1,Autumn
490,2019,3,March,Wednesday,1,Autumn
491,2019,2,February,Friday,1,Summer
492,2019,2,February,Monday,1,Summer
493,2019,2,February,Saturday,1,Summer
494,2019,2,February,Sunday,1,Summer
495,2019,2,February,Thursday,1,Summer
496,2019,2,February,Tuesday,1,Summer
497,2019,2,February,Wednesday,1,Summer
498,2019,1,January,Friday,1,Summer
499,2019,1,January,Monday,1,Summer
500,2019,1,January,Saturday,1,Summer
501,2019,1,January,Sunday,1,Summer
502,2019,1,January,Thursday,1,Summer
503,2019,1,January,Tuesday,1,Summer
504,2019,1,January,Wednesday,1,Summer
505,2018,12,December,Friday,4,Summer
506,2018,12,December,Monday,4,Summer
507,2018,12,December,Saturday,4,Summer
508,2018,12,December,Sunday,4,Summer
509,2018,12,December,Thursday,4,Summer
510,2018,12,December,Tuesday,4,Summer
511,2018,12,December,Wednesday,4,Summer
512,2018,11,November,Friday,4,Spring
513,2018,11,November,Monday,4,Spring
514,2018,11,November,Saturday,4,Spring
515,2018,11,November,Sunday,4,Spring
516,2018,11,November,Thursday,4,Spring
517,2018,11,November,Tuesday,4,Spring
518,2018,11,November,Wednesday,4,Spring
519,2018,10,October,Friday,4,Spring
520,2018,10,October,Monday,4,Spring
521,2018,10,October,Saturday,4,Spring
522,2018,10,October,Sunday,4,Spring
523,2018,10,October,Thursday,4,Spring
524,2018,10,October,Tuesday,4,Spring
525,2018,10,October,Wednesday,4,Spring
526,2018,9,September,Friday,3,Spring
527,2018,9,September,Monday,3,Spring
528,2018,9,September,Saturday,3,Spring
529,2018,9,September,Sunday,3,Spring
530,2018,9,September,Thursday,3,Spring
531,2018,9,September,Tuesday,3,Spring
532,2018,9,September,Wednesday,3,Spring
533,2018,8,August,Friday,3,Winter
534,2018,8,August,Monday,3,Winter
535,2018,8,August,Saturday,3,Winter
536,2018,8,August,Sunday,3,Winter
537,2018,8,August,Thursday,3,Winter
538,2018,8,August,Tuesday,3,Winter
539,2018,8,August,Wednesday,3,Winter
540,2018,7,July,Friday,3,Winter
541,2018,7,July,Monday,3,Winter
542,2018,7,July,Saturday,3,Winter
543,2018,7,July,Sunday,3,Winter
544,2018,7,July,Thursday,3,Winter
545,2018,7,July,Tuesday,3,Winter
546,2018,7,July,Wednesday,3,Winter
547,2018,6,June,Friday,2,Winter
548,2018,6,June,Monday,2,Winter
549,2018,6,June,Saturday,2,Winter
550,2018,6,June,Sunday,2,Winter
551,2018,6,June,Thursday,2,Winter
552,2018,6,June,Tuesday,2,Winter
553,2018,6,June,Wednesday,2,Winter
554,2018,5,May,Friday,2,Autumn
555,2018,5,May,Monday,2,Autumn
556,2018,5,May,Saturday,2,Autumn
557,2018,5,May,Sunday,2,Autumn
558,2018,5,May,Thursday,2,Autumn
559,2018,5,May,Tuesday,2,Autumn
560,2018,5,May,Wednesday,2,Autumn
561,2018,4,April,Friday,2,Autumn
562,2018,4,April,Monday,2,Autumn
563,2018,4,April,Saturday,2,Autumn
564,2018,4,April,Sunday,2,Autumn
565,2018,4,April,Thursday,2,Autumn
566,2018,4,April,Tuesday,2,Autumn
567,2018,4,April,Wednesday,2,Autumn
568,2018,3,March,Friday,1,Autumn
569,2018,3,March,Monday,1,Autumn
570,2018,3,March,Saturday,1,Autumn
571,2018,3,March,Sunday,1,Autumn
572,2018,3,March,Thursday,1,Autumn
573,2018,3,March,Tuesday,1,Autumn
574,2018,3,March,Wednesday,1,Autumn
575,2018,2,February,Friday,1,Summer
576,2018,2,February,Monday,1,Summer
577,2018,2,February,Saturday,1,Summer
578,2018,2,February,Sunday,1,Summer
579,2018,2,February,Thursday,1,Summer
580,2018,2,February,Tuesday,1,Summer
581,2018,2,February,Wednesday,1,Summer
582,2018,1,January,Friday,1,Summer
583,2018,1,January,Monday,1,Summer
584,2018,1,January,Saturday,1,Summer
585,2018,1,January,Sunday,1,Summer
586,2018,1,January,Thursday,1,Summer
587,2018,1,January,Tuesday,1,Summer
588,2018,1,January,Wednesday,1,Summer
589,2017,12,December,Friday,4,Summer
590,2017,12,December,Monday,4,Summer
591,2017,12,December,Saturday,4,Summer
592,2017,12,December,Sunday,4,Summer
593,2017,12,December,Thursday,4,Summer
594,2017,12,December,Tuesday,4,Summer
595,2017,12,December,Wednesday,4,Summer
596,2017,11,November,Friday,4,Spring
597,2017,11,November,Monday,4,Spring
598,2017,11,November,Saturday,4,Spring
599,2017,11,November,Sunday,4,Spring
600,2017,11,November,Thursday,4,Spring
601,2017,11,November,Tuesday,4,Spring
602,2017,11,November,Wednesday,4,Spring
603,2017,10,October,Friday,4,Spring
604,2017,10,October,Monday,4,Spring
605,2017,10,October,Saturday,4,Spring
606,2017,10,October,Sunday,4,Spring
607,2017,10,October,Thursday,4,Spring
608,2017,10,October,Tuesday,4,Spring
609,2017,10,October,Wednesday,4,Spring
610,2017,9,September,Friday,3,Spring
611,2017,9,September,Monday,3,Spring
612,2017,9,September,Saturday,3,Spring
613,2017,9,September,Sunday,3,Spring
614,2017,9,September,Thursday,3,Spring
615,2017,9,September,Tuesday,3,Spring
616,2017,9,September,Wednesday,3,Spring
617,2017,8,August,Friday,3,Winter
618,2017,8,August,Monday,3,Winter
619,2017,8,August,Saturday,3,Winter
620,2017,8,August,Sunday,3,Winter
621,2017,8,August,Thursday,3,Winter
622,2017,8,August,Tuesday,3,Winter
623,2017,8,August,Wednesday,3,Winter
624,2017,7,July,Friday,3,Winter
625,2017,7,July,Monday,3,Winter
626,2017,7,July,Saturday,3,Winter
627,2017,7,July,Sunday,3,Winter
628,2017,7,July,Thursday,3,Winter
629,2017,7,July,Tuesday,3,Winter
630,2017,7,July,Wednesday,3,Winter
631,2017,6,June,Friday,2,Winter
632,2017,6,June,Monday,2,Winter
633,2017,6,June,Saturday,2,Winter
634,2017,6,June,Sunday,2,Winter
635,2017,6,June,Thursday,2,Winter
636,2017,6,June,Tuesday,2,Winter
637,2017,6,June,Wednesday,2,Winter
638,2017,5,May,Friday,2,Autumn
639,2017,5,May,Monday,2,Autumn
640,2017,5,May,Saturday,2,Autumn
641,2017,5,May,Sunday,2,Autumn
642,2017,5,May,Thursday,2,Autumn
643,2017,5,May,Tuesday,2,Autumn
644,2017,5,May,Wednesday,2,Autumn
645,2017,4,April,Friday,2,Autumn
646,2017,4,April,Monday,2,Autumn
647,2017,4,April,Saturday,2,Autumn
648,2017,4,April,Sunday,2,Autumn
649,2017,4,April,Thursday,2,Autumn
650,2017,4,April,Tuesday,2,Autumn
651,2017,4,April,Wednesday,2,Autumn
652,2017,3,March,Friday,1,Autumn
653,2017,3,March,Monday,1,Autumn
654,2017,3,March,Saturday,1,Autumn
655,2017,3,March,Sunday,1,Autumn
656,2017,3,March,Thursday,1,Autumn
657,2017,3,March,Tuesday,1,Autumn
658,2017,3,March,Wednesday,1,Autumn
659,2017,2,February,Friday,1,Summer
660,2017,2,February,Monday,1,Summer
661,2017,2,February,Saturday,1,Summer
662,2017,2,February,Sunday,1,Summer
663,2017,2,February,Thursday,1,Summer
664,2017,2,February,Tuesday,1,Summer
665,2017,2,February,Wednesday,1,Summer
666,2017,1,January,Friday,1,Summer
667,2017,1,January,Monday,1,Summer
668,2017,1,January,Saturday,1,Summer
669,2017,1,January,Sunday,1,Summer
670,2017,1,January,Thursday,1,Summer
671,2017,1,January,Tuesday,1,Summer
672,2017,1,January,Wednesday,1,Summer
673,2016,12,December,Friday,4,Summer
674,2016,12,December,Monday,4,Summer
675,2016,12,December,Saturday,4,Summer
676,2016,12,December,Sunday,4,Summer
677,2016,12,December,Thursday,4,Summer
678,2016,12,December,Tuesday,4,Summer
679,2016,12,December,Wednesday,4,Summer
680,2016,11,November,Friday,4,Spring
681,2016,11,November,Monday,4,Spring
682,2016,11,November,Saturday,4,Spring
683,2016,11,November,Sunday,4,Spring
684,2016,11,November,Thursday,4,Spring
685,2016,11,November,Tuesday,4,Spring
686,2016,11,November,Wednesday,4,Spring
687,2016,10,October,Friday,4,Spring
688,2016,10,October,Monday,4,Spring
689,2016,10,October,Saturday,4,Spring
