crash_event,fact_id,victim_key,crash_id,date_key,time_key,location_key,remoteness_key,road_key,vehicle_key,fatalities,fatality_rate_per_100k_dwellings,risk_factor_score
20242006,78,68,78,5,71,5,1,5,1,1,11.9775,2.0
20245130,79,69,79,5,72,23,2,15,1,1,47.3485,2.0
20243044,80,33,80,5,1179,52,5,4,2,1,5.6051,3.2
20246009,81,70,81,5,73,3,2,27,1,1,15.5183,1.95
20241274,82,71,82,5,74,53,3,4,1,1,0.7464,3.2
20242073,83,72,83,5,75,5,1,5,1,1,11.9775,2.0
20241240,84,73,84,5,76,54,1,13,1,1,4.3815,2.4
20242035,85,74,85,5,77,5,1,5,1,1,11.9775,3.0
20243176,86,75,86,6,1,55,2,14,1,1,1.377,2.7
20245006,87,76,87,6,78,26,3,17,1,1,2.7766,1.5
20241181,88,77,88,6,79,56,2,10,2,1,91.659,3.2
20243110,89,78,89,6,80,57,4,8,1,1,438.5965,1.5
20242037,90,72,90,6,81,58,1,6,1,1,10.6293,2.6
20244044,91,79,91,6,1188,59,1,6,1,1,16.5399,2.6
20243090,92,80,92,6,1132,60,3,17,1,1,1.1448,1.5
20243147,93,76,93,6,1227,61,2,21,1,1,6.6124,2.4
20245083,94,81,94,6,83,23,2,15,1,1,47.3485,2.0
20244019,95,82,95,6,84,62,5,28,1,1,59.4884,3.6
20241194,96,83,96,6,85,63,3,29,5,1,1.2838,3.15
20241139,97,84,97,6,86,64,3,3,6,1,1.2021,1.5
20241197,98,85,98,6,87,65,1,4,2,1,13.637,4.8
20243220,99,86,99,7,88,61,2,28,1,1,6.6124,3.6
20243267,100,23,100,7,1,66,1,30,1,1,0.531,4.8
20241057,101,87,101,7,89,67,1,10,1,1,4.7872,3.2
20245164,102,48,102,7,90,23,2,15,1,1,47.3485,2.0
20243174,103,88,103,7,1170,34,1,21,1,1,0.7938,2.4
20242148,104,27,104,7,46,5,1,5,1,1,11.9775,2.0
20241166,105,66,105,7,1200,68,1,6,1,1,21.3311,2.6
20247011,106,89,106,7,91,25,2,5,1,1,11.2982,3.0
20243213,107,34,107,8,50,69,1,4,2,1,2.1701,4.8
20241096,108,90,108,8,92,43,2,4,1,1,25.2016,4.8
20242089,109,91,109,8,93,70,3,26,1,1,0.9674,2.1
20245012,110,92,110,8,94,26,3,17,1,1,2.7766,1.5
20245070,111,31,111,8,1119,8,1,5,4,1,8.4218,2.0
20243073,112,67,112,8,95,71,3,20,1,1,0.1925,1.95
20242264,113,1,113,8,1149,5,1,5,1,1,11.9775,2.0
20241027,114,93,114,8,1149,72,2,4,1,1,14.1343,3.2
20242018,115,94,115,8,97,5,1,5,1,1,11.9775,2.0
20241163,116,95,116,8,98,46,2,6,1,1,3.6069,2.6
20243143,117,96,117,8,1159,73,2,11,1,1,5.5423,2.0
20241222,118,97,118,8,1115,74,3,4,1,1,1.478,3.2
20241218,119,59,119,8,1249,75,1,10,1,1,14.6563,3.2
20243249,120,38,120,8,101,76,5,28,1,1,7.0522,4.32
20243098,121,98,121,8,102,69,1,31,1,1,2.1701,3.51
20242193,122,99,122,8,103,5,1,5,1,1,11.9775,3.6
20241306,123,100,123,8,104,77,3,14,1,1,0.1925,3.24
20247002,124,101,124,9,105,25,2,5,1,1,11.2982,3.6
20243037,125,102,125,9,106,55,2,3,1,1,1.377,1.0
20244083,126,103,126,9,107,78,3,8,1,1,1.7508,1.5
20245145,127,104,127,9,108,23,2,15,1,1,47.3485,2.0
20241196,128,105,128,9,5,79,1,27,1,1,2.8012,1.95
20244028,129,106,129,9,109,33,1,1,1,2,45.4236,2.8
20243038,130,107,130,9,1132,9,1,11,1,1,5.7316,2.0
20242023,131,108,131,9,110,80,1,20,2,1,4.8473,1.95
20242230,132,109,132,9,1156,81,1,1,1,1,11.6959,2.8
20242127,133,103,133,9,112,82,3,12,1,1,2.2971,1.8
20242120,134,39,134,9,113,83,2,1,1,1,3.8346,2.8
20241106,135,99,135,9,114,67,1,27,1,1,4.7872,1.95
20241230,136,110,136,9,1218,84,3,32,1,1,1.7872,2.1
20241055,137,111,137,9,116,45,3,3,1,1,0.1925,1.0
20241267,138,112,138,9,102,65,1,3,1,1,13.637,1.5
20242260,139,113,139,9,14,47,3,29,1,1,1.2049,3.15
20242158,140,114,140,10,117,5,1,5,1,1,11.9775,3.6
20242057,141,115,141,10,118,80,1,1,1,1,4.8473,5.04
20242163,142,35,142,10,106,5,1,5,1,1,11.9775,2.4
20245098,143,116,143,10,1222,26,3,18,2,1,2.7766,1.8
20243153,144,117,144,10,1119,85,4,6,2,1,9.8049,3.12
20242161,145,14,145,10,119,47,3,27,1,1,1.2049,2.34
20243172,146,74,146,10,95,86,1,33,1,1,2.7923,0.96
20241236,147,34,147,10,95,87,1,29,1,1,1.9812,2.52
20245162,148,23,148,10,120,26,3,18,1,1,2.7766,1.8
20242213,149,118,149,10,80,5,1,5,1,1,11.9775,2.4
20242005,150,119,150,10,121,5,1,5,1,1,11.9775,2.4
20241188,151,32,151,10,1210,87,1,4,1,1,1.9812,3.84
20245056,152,22,152,10,1174,26,3,34,4,1,2.7766,1.2
20245008,153,120,153,10,1251,26,3,17,1,1,2.7766,1.8
20242114,154,121,154,10,124,5,1,5,1,2,23.955,2.4
20243191,155,122,155,10,1170,60,1,6,1,2,2.2896,3.12
20241256,156,57,156,10,125,65,1,1,1,2,27.274,3.36
20247006,157,123,157,10,1168,25,2,5,1,1,11.2982,2.4
20242207,158,124,158,10,127,5,1,5,1,1,11.9775,3.6
20242019,159,7,159,10,128,88,2,4,1,1,9.8299,5.76
20243008,160,125,160,10,9,69,1,12,6,1,2.1701,3.24
20243041,161,126,161,10,129,89,2,6,1,1,6.1862,4.68
20243001,162,127,162,10,129,31,2,21,1,1,14.3246,4.32
20244021,163,30,163,10,130,90,3,26,1,1,1.7632,3.78
20243113,164,128,164,10,13,71,3,8,1,1,0.1925,2.7
20242050,165,2,165,10,131,5,1,5,1,1,11.9775,3.6
20242004,166,129,166,10,132,5,1,5,1,1,11.9775,3.6
20241107,167,76,167,10,133,91,2,1,1,1,16.9635,5.04
20243022,168,130,168,11,88,92,3,14,1,1,0.3693,3.24
20248002,169,131,169,11,134,17,3,29,1,1,0.5343,3.78
20242088,170,128,170,11,135,93,3,31,1,1,1.6981,3.51
20241173,171,132,171,11,136,94,2,10,2,2,32.1027,5.76
20241004,172,133,172,11,106,95,3,3,1,1,0.9376,1.2
20246004,173,134,173,11,1146,96,2,10,5,1,10.7805,3.84
20241201,174,135,174,11,1228,97,3,3,1,1,3.7666,1.2
20242124,175,107,175,11,139,5,1,5,1,1,11.9775,2.4
20241029,176,69,176,11,1131,98,2,21,1,1,8.1626,2.88
20243005,177,105,177,11,80,69,1,13,1,1,2.1701,2.88
20241261,178,136,178,11,1137,18,3,30,1,1,1.1176,3.84
20244024,179,137,179,11,5,29,1,2,1,1,9.0547,1.8
20245004,180,51,180,11,89,23,2,15,4,1,47.3485,2.4
20245134,181,69,181,11,1197,23,2,15,1,1,47.3485,2.4
20241215,182,138,182,11,62,99,2,4,1,1,15.2765,3.84
20243186,183,139,183,11,1200,50,1,2,1,1,1.3504,1.8
20248006,184,140,184,11,143,17,1,5,1,1,0.5343,2.4
20243208,185,93,185,11,129,100,3,35,1,1,0.1925,2.34
20241134,186,141,186,12,144,53,3,29,1,1,0.7464,3.15
20243040,187,142,187,12,50,9,1,13,5,2,11.4633,3.6
20241263,188,143,188,12,1,101,1,3,1,1,15.9566,1.5
20241302,189,144,189,12,145,102,1,10,1,1,6.7847,4.8
20241147,190,145,190,12,146,77,3,23,1,1,0.1925,1.8
20243096,191,146,191,12,1119,103,1,3,1,1,4.0376,1.0
20243248,192,131,192,12,1119,104,3,36,1,1,0.531,1.5
20241150,193,31,193,12,147,105,3,37,6,1,3.2077,1.4
20241247,194,147,194,12,1188,106,1,4,2,1,1.7007,3.2
20242051,195,148,195,12,1170,5,1,5,1,1,11.9775,2.0
20242174,196,149,196,12,1199,5,1,5,1,1,11.9775,2.0
20241234,197,150,197,12,76,97,1,1,1,1,3.7666,2.8
20242110,198,151,198,12,149,44,1,21,1,1,1.8807,2.4
20242052,199,14,199,12,150,107,1,32,4,1,4.4631,3.15
20243247,200,152,200,13,151,89,2,6,1,1,6.1862,3.9
20243144,201,94,201,13,106,86,1,4,2,1,2.7923,3.2
20242013,202,153,202,13,152,5,1,5,1,1,11.9775,2.0
20242008,203,154,203,13,153,5,1,5,1,1,11.9775,2.0
20241235,204,155,204,13,1185,18,1,29,2,1,1.1176,2.1
20243087,205,156,205,13,80,21,1,28,1,2,12.4254,2.4
20244061,206,38,206,13,155,108,5,10,1,1,31.3087,3.2
20241009,207,134,207,13,156,109,1,29,1,1,2.2391,2.1
20241072,208,157,208,13,1179,87,2,27,1,1,1.9812,1.95
20243129,209,158,209,13,1179,60,3,4,2,1,1.1448,3.2
20242219,210,159,210,13,89,110,1,4,4,1,18.1521,3.2
20241219,211,39,211,13,157,2,1,29,1,1,3.918,2.1
20244010,212,41,212,13,1152,59,1,1,1,1,16.5399,2.8
20244040,213,160,213,13,159,78,3,23,1,1,1.7508,1.2
20243171,214,161,214,13,1170,55,2,4,1,1,1.377,3.2
20242075,215,1,215,13,160,111,1,29,1,1,8.0257,2.1
20243079,216,162,216,13,1200,112,4,6,1,1,201.2072,2.6
20245103,217,127,217,13,161,26,3,18,4,1,2.7766,1.5
20242068,218,11,218,13,162,5,1,5,1,1,11.9775,3.0
20241045,219,163,219,13,163,113,1,3,1,1,10.1647,1.5
20243017,220,164,220,13,13,114,2,4,2,2,6.6961,4.8
20242128,221,23,221,13,164,5,1,5,1,1,11.9775,3.0
20247024,222,165,222,14,165,25,2,5,1,2,22.5963,3.0
20241160,223,127,223,14,8,1,1,38,4,1,3.5406,1.3
20241081,224,16,224,14,101,115,1,4,2,1,9.7694,4.8
20242103,225,19,225,14,150,5,1,5,1,1,11.9775,3.0
20241135,226,103,226,14,166,94,2,4,1,1,16.0514,4.8
20241209,227,166,227,14,167,116,3,10,2,1,0.1925,4.8
20245051,228,167,228,14,168,8,1,5,1,1,8.4218,3.0
20242140,229,30,229,15,169,81,1,4,4,2,23.3918,3.2
20242142,230,168,230,15,1146,80,1,6,1,1,4.8473,2.6
20243107,231,169,231,15,95,55,2,31,1,1,1.377,1.95
20243020,232,148,232,15,80,117,3,8,1,1,0.6711,1.5
20241151,233,127,233,15,170,118,2,11,1,1,2.6251,2.0
20243158,234,170,234,15,1227,73,2,4,2,1,5.5423,3.2
20241286,235,171,235,15,1177,20,2,29,1,1,2.6251,2.1
20243102,236,97,236,15,1170,119,3,31,1,1,3.4825,1.95
20241303,237,172,237,15,1187,120,3,1,1,1,2.8012,2.8
20246029,238,173,238,15,173,11,2,19,1,1,8.8433,1.6
20248005,239,43,239,15,174,17,3,29,1,1,0.5343,2.1
20243035,240,87,240,15,9,66,3,8,1,1,0.531,2.7
20244018,241,174,241,15,175,121,3,39,1,1,8.988,4.32
20241060,242,22,242,15,102,87,1,29,1,2,3.9624,3.78
20242022,243,175,243,15,176,122,1,8,4,1,13.7533,2.7
20241037,244,140,244,15,177,45,3,32,1,1,0.1925,3.78
20241257,245,176,245,15,178,91,1,3,1,1,16.9635,1.8
20241128,246,177,246,16,179,53,3,4,1,1,0.7464,5.76
20243089,247,73,247,16,50,123,3,14,1,1,0.1925,3.24
20242181,248,96,248,16,1113,124,1,11,1,1,4.078,2.0
20243082,249,89,249,16,1190,125,5,4,2,1,9.0794,3.2
20245080,250,142,250,16,182,23,2,15,1,1,47.3485,2.0
20243150,251,83,251,16,1132,117,3,4,1,1,0.6711,3.2
20245041,252,178,252,16,183,23,2,15,1,1,47.3485,2.0
20242152,253,10,253,16,1151,5,1,5,1,1,11.9775,2.0
20247010,254,179,254,16,1170,25,2,5,1,1,11.2982,2.0
20245088,255,180,255,16,1191,23,2,15,2,1,47.3485,2.0
20243239,256,181,256,16,101,126,5,4,1,1,15.361,4.8
20243170,257,182,257,16,101,71,3,27,1,1,0.1925,2.925
20242040,258,183,258,17,135,127,2,4,2,1,12.0598,5.76
20243084,259,14,259,17,1,66,3,31,1,1,0.531,3.51
20241030,260,184,260,17,186,128,1,29,1,1,3.8742,3.78
20245016,261,185,261,17,187,26,3,17,1,3,8.3299,2.7
20243127,262,131,262,17,1190,129,1,21,4,1,5.4148,2.88
20243003,263,154,263,17,1179,130,1,11,1,1,9.0744,2.4
20243266,264,98,264,17,1159,131,5,40,1,1,16.5837,1.62
20241042,265,186,265,17,1157,13,3,21,1,1,2.8378,2.88
20243121,266,66,266,17,1132,129,1,6,1,1,5.4148,3.12
20245124,267,52,267,17,189,26,3,34,1,1,2.7766,1.2
20245043,268,8,268,17,190,8,1,5,1,2,16.8435,2.4
20245044,269,187,269,17,191,23,2,15,1,1,47.3485,3.6
20241175,270,188,270,17,163,18,3,23,1,1,1.1176,2.16
20245061,271,189,271,18,192,8,1,5,1,1,8.4218,3.6
20243072,272,36,272,18,15,32,1,12,1,1,1.9118,3.24
20242232,273,16,273,18,193,132,3,41,1,1,1.6776,3.24
20244057,274,190,274,18,117,133,3,30,1,1,2.5313,5.76
20242173,275,140,275,18,194,5,1,5,1,1,11.9775,2.4
20241091,276,134,276,18,79,134,4,10,1,1,43.1034,3.84
20243201,277,191,277,18,1119,21,2,11,1,1,6.2127,2.4
20242135,278,91,278,18,195,110,2,4,1,1,18.1521,3.84
20243225,279,192,279,18,95,130,1,31,1,1,9.0744,2.34
20245116,280,193,280,18,1160,26,3,17,1,1,2.7766,1.8
20241167,281,193,281,18,1233,116,3,23,1,1,0.1925,1.44
20244060,282,194,282,18,1159,135,1,6,1,1,6.1463,3.12
20241268,283,195,283,18,1159,136,2,4,1,1,5.3003,3.84
20244013,284,186,284,18,197,137,3,27,1,1,2.437,2.34
20245002,285,196,285,18,198,26,3,34,1,1,2.7766,1.2
20243235,286,197,286,18,1132,66,3,42,1,2,1.062,2.4
20244059,287,114,287,18,199,15,2,10,1,2,32.7118,3.84
20245015,288,162,288,18,200,26,3,22,1,1,2.7766,1.8
20241266,289,198,289,18,124,138,1,29,1,1,9.2721,2.52
20243131,290,49,290,18,1170,66,3,27,1,1,0.531,2.34
20245111,291,107,291,18,1187,26,3,34,1,1,2.7766,1.2
20242080,292,199,292,18,1141,81,2,11,1,1,11.6959,2.4
20245160,293,50,293,19,202,23,2,15,4,1,47.3485,3.0
20241287,294,200,294,19,203,139,1,1,1,1,5.286,4.2
20241152,295,22,295,19,146,87,1,4,1,1,1.9812,4.8
20243161,296,57,296,19,1190,140,1,6,1,1,5.4148,2.6
20242042,297,201,297,19,204,141,3,29,1,1,0.8152,2.1
20243210,298,134,298,19,1119,114,2,14,1,1,3.3481,1.8
20244025,299,185,299,19,1185,142,2,43,1,1,41.2541,2.8
20243088,300,202,300,19,1159,143,2,38,1,1,7.585,1.3
20241211,301,203,301,19,1188,144,3,9,6,2,1.6114,2.4
20242007,302,50,302,19,205,5,1,4,1,1,11.9775,3.2
20247050,303,204,303,19,1115,25,2,5,1,1,11.2982,2.0
20245037,304,205,304,19,62,23,2,15,1,1,47.3485,2.0
20241204,305,102,305,19,206,18,3,21,1,1,1.1176,2.4
20244062,306,166,306,19,1218,90,3,2,1,1,1.7632,1.5
20241137,307,206,307,19,1128,145,1,10,1,1,3.9324,3.2
20243117,308,37,308,19,1200,92,3,27,1,1,0.3693,1.95
20242081,309,207,309,19,208,146,3,26,1,1,1.3713,2.1
20242015,310,208,310,19,209,5,1,5,1,1,11.9775,3.0
20243206,311,128,311,19,9,147,3,27,1,1,1.5334,2.925
20242034,312,209,312,19,210,5,1,5,1,1,11.9775,3.0
20248003,313,127,313,19,48,17,3,44,1,1,0.5343,2.7
20244032,314,210,314,20,211,133,1,39,1,1,2.5313,3.6
20241153,315,148,315,20,1,19,3,14,1,1,1.2308,2.7
20242138,316,134,316,20,212,148,1,4,1,1,5.8326,4.8
20243198,317,69,317,20,106,131,2,11,1,1,16.5837,2.0
20243190,318,140,318,20,1132,104,3,45,1,1,0.531,1.2
20242107,319,84,319,20,1115,146,3,46,1,1,1.3713,1.0
20243080,320,211,320,20,101,38,1,28,1,1,1.9004,3.6
20242204,321,212,321,20,150,149,1,31,1,1,1.6241,2.925
20242139,322,213,322,20,213,111,1,47,1,1,8.0257,1.35
20245086,323,80,323,20,214,26,3,17,1,1,2.7766,2.25
20247026,324,75,324,21,215,25,2,5,1,1,11.2982,3.0
20245063,325,214,325,21,216,23,2,15,1,1,47.3485,2.0
20241103,326,49,326,21,217,136,2,29,1,1,5.3003,2.1
20247025,327,215,327,21,206,25,2,5,1,1,11.2982,2.0
20242129,328,51,328,21,44,150,1,11,1,1,4.8361,2.0
20244027,329,216,329,21,1162,151,1,29,1,1,6.229,2.1
20243006,330,10,330,21,1170,152,3,38,1,1,0.1925,1.3
20243108,331,217,331,21,1200,69,1,6,1,1,2.1701,2.6
20243212,332,57,332,21,101,92,3,44,1,1,0.3693,2.7
20241237,333,50,333,21,67,128,3,3,1,1,3.8742,1.5
20241052,334,204,334,21,219,153,1,4,1,1,2.8204,4.8
20241308,335,57,335,21,220,99,2,38,1,1,15.2765,1.95
20246027,336,218,336,22,221,154,1,3,1,1,4.0219,1.5
20244072,337,219,337,22,1190,155,3,23,1,1,3.6807,1.2
20245125,338,2,338,22,222,8,1,7,4,1,8.4218,2.0
20241195,339,67,339,22,1179,156,1,31,1,1,3.8251,1.95
20244043,340,49,340,22,1109,157,3,38,1,1,6.7723,1.3
20241102,341,15,341,22,1245,19,3,26,1,1,1.2308,2.1
20243194,342,220,342,22,1132,71,3,13,1,1,0.1925,2.4
20245148,343,221,343,22,1227,26,3,17,1,1,2.7766,1.5
20246017,344,222,344,22,114,158,1,29,4,2,7.7238,2.1
20243070,345,223,345,22,1200,71,3,4,4,1,0.1925,3.2
20243165,346,67,346,22,101,66,3,2,1,1,0.531,2.7
20241063,347,224,347,22,67,45,3,32,1,1,0.1925,3.78
20241132,348,95,348,22,225,18,3,13,6,1,1.1176,4.32
20241292,349,225,349,22,226,45,3,26,1,1,0.1925,3.78
20245141,350,86,350,22,227,26,3,17,1,1,2.7766,2.7
20241189,351,226,351,22,129,159,1,11,1,1,5.0554,3.6
20241233,352,167,352,22,228,37,2,10,1,4,140.3016,5.76
20242115,353,129,353,23,229,160,1,6,1,1,3.462,2.6
20242167,354,227,354,23,230,161,3,27,1,1,1.277,1.95
20241016,355,197,355,23,1188,162,2,11,1,1,37.1195,2.0
20246025,356,228,356,23,1132,163,2,31,1,1,11.4064,1.95
20243234,357,229,357,23,1132,34,3,8,1,1,0.7938,1.5
20241220,358,230,358,23,1105,128,1,31,1,1,3.8742,1.95
20243002,359,140,359,23,1200,164,2,21,1,1,1.1989,2.4
20241034,360,231,360,23,1249,165,2,3,1,1,9.2311,1.0
20242012,361,232,361,23,231,166,1,3,1,1,5.4903,1.0
20243009,362,112,362,24,15,117,3,40,1,2,1.3422,2.43
20245018,363,233,363,24,232,26,3,17,1,1,2.7766,2.7
20241269,364,234,364,24,233,167,1,37,1,1,1.9812,1.68
20242093,365,235,365,24,234,168,3,3,1,1,1.4627,1.2
20242176,366,209,366,24,235,5,1,6,1,1,11.9775,3.12
20242255,367,236,367,24,236,169,1,6,1,1,1.9862,3.12
20241066,368,119,368,24,1187,170,1,42,1,1,4.2332,2.4
20242175,369,237,369,24,237,82,1,41,1,1,2.2971,2.16
20243207,370,238,370,24,101,86,1,8,1,1,2.7923,2.7
20242029,371,239,371,24,238,171,3,8,1,1,2.1305,2.7
20241246,372,103,372,24,10,145,1,29,1,1,3.9324,3.78
20242046,373,240,373,24,130,5,1,5,1,1,11.9775,3.6
20241078,374,241,374,24,167,109,3,36,1,1,2.2391,2.7
20245065,375,4,375,24,239,23,2,15,1,1,47.3485,3.6
20243064,376,242,376,25,88,172,2,4,1,1,18.2017,5.76
20241013,377,147,377,25,193,94,5,6,1,2,32.1027,4.68
20246019,378,105,378,25,105,163,2,21,1,1,11.4064,4.32
20247019,379,109,379,25,34,25,2,5,1,1,11.2982,3.6
20247039,380,139,380,25,240,25,2,5,4,1,11.2982,2.4
20242257,381,243,381,25,241,173,3,23,1,1,1.0684,1.44
20241138,382,244,382,25,36,74,3,3,1,1,1.478,1.2
20245013,383,114,383,25,1197,23,2,15,2,1,47.3485,2.4
20247045,384,161,384,25,242,25,2,5,1,1,11.2982,2.4
20244014,385,23,385,25,1159,174,3,35,1,1,5.7604,1.56
20242053,386,180,386,25,160,149,1,1,1,1,1.6241,3.36
20244069,387,208,387,25,160,175,1,26,1,1,5.9666,2.52
20243111,388,57,388,25,1200,73,2,4,1,1,5.5423,3.84
20247028,389,245,389,25,1168,25,2,5,1,1,11.2982,2.4
20243067,390,112,390,25,9,103,2,11,1,1,4.0376,3.6
20242186,391,166,391,25,243,176,3,21,4,1,1.6566,4.32
20242250,392,246,392,25,244,93,3,8,1,1,1.6981,2.7
20245078,393,103,393,25,245,26,3,34,1,1,2.7766,1.8
20243167,394,1,394,26,88,177,2,9,1,1,12.108,3.6
20245150,395,102,395,26,246,8,1,5,1,1,8.4218,3.0
20243106,396,102,396,26,1,71,3,20,1,1,0.1925,2.925
20242098,397,247,397,26,247,178,3,8,1,1,1.6126,2.25
20241179,398,240,398,26,169,87,1,31,1,1,1.9812,1.95
20242070,399,248,399,26,248,47,1,29,1,1,1.2049,2.1
20243261,400,249,400,26,1190,85,4,11,2,1,9.8049,2.0
20243227,401,86,401,26,80,89,2,11,1,1,6.1862,2.0
20242243,402,84,402,26,5,149,1,3,1,1,1.6241,1.0
20242102,403,112,403,26,249,179,3,26,1,1,1.3078,2.1
20245165,404,16,404,26,250,23,2,15,1,1,47.3485,2.0
20241109,405,250,405,26,251,180,4,4,1,1,3.1321,4.8
20243187,406,71,406,27,1,21,1,8,1,1,6.2127,2.25
20245028,407,193,407,27,252,23,2,15,1,1,47.3485,2.0
20241301,408,75,408,27,253,53,3,2,1,1,0.7464,1.5
20243135,409,112,409,27,1170,89,2,11,4,1,6.1862,2.0
20245166,410,51,410,27,254,23,2,15,1,1,47.3485,3.0
20245110,411,251,411,27,255,26,3,18,1,1,2.7766,2.25
20241248,412,252,412,28,106,64,3,14,1,1,1.2021,1.8
20245030,413,148,413,28,256,23,2,15,1,1,47.3485,2.0
20243268,414,253,414,28,80,181,4,11,1,1,52.7426,2.0
20242071,415,254,415,28,257,182,3,26,1,1,0.9964,2.1
20241020,416,61,416,28,1130,183,2,4,1,1,21.692,3.2
